caption,verbs,nouns,adjectives,sub
"Firefighters dousing, extinguishing, and quenching flames with powerful water hoses.","{dousing, extinguishing, quenching}","{firefighters, flames, hoses}","{powerful, water}",{firefighters}
"A juggler tossing, catching, and balancing multiple objects in the air.","{tossing, catching, balancing}","{juggler, objects, air}",{multiple},{juggler}
"Children sledding, sliding, and gliding down a snow-covered hill.","{sledding, sliding, gliding}","{children, hill}",{snow-covered},{children}
"A chef filleting, deboning, and preparing a fresh fish for cooking.","{filleting, deboning, preparing}","{chef, fish}",{fresh},{chef}
"Dancers salsa dancing, twirling, and spinning on a crowded dance floor.","{dancing, twirling, spinning}","{dancers, floor}","{crowded, dance}",{dancers}
"A painter brushing, stroking, and applying vibrant colors to a large canvas.","{brushing, stroking, applying}","{painter, colors, canvas}","{vibrant, large}",{painter}
"Athletes diving, plunging, and splashing into a swimming pool during a competition.","{diving, plunging, splashing}","{athletes, pool, competition}",{swimming},{athletes}
"A tailor measuring, cutting, and sewing fabric for a custom suit.","{measuring, cutting, sewing}","{tailor, fabric, suit}",{custom},{tailor}
"Skaters gliding, spinning, and pirouetting on a frozen lake.","{gliding, spinning, pirouetting}","{skaters, lake}",{frozen},{skaters}
"A magician sawing, dividing, and separating an assistant in a magic box.","{sawing, dividing, separating}","{magician, assistant, box}",{magic},{magician}
"Chefs chopping, dicing, and mincing vegetables in a busy kitchen.","{chopping, dicing, mincing}","{chefs, vegetables, kitchen}",{busy},{chefs}
"A gymnast vaulting, leaping, and somersaulting over a horse during a routine.","{vaulting, leaping, somersaulting}","{gymnast, horse, routine}",{},{gymnast}
"Firefighters rescuing, saving, and extracting a cat from a tall tree.","{rescuing, saving, extracting}","{firefighters, cat, tree}",{tall},{firefighters}
"A conductor leading, guiding, and directing a choir during a performance.","{leading, guiding, directing}","{conductor, choir, performance}",{},{conductor}
"Children swinging, soaring, and gliding on playground swings.","{swinging, soaring, gliding}","{children, swings}",{playground},{children}
"A potter molding, shaping, and forming clay on a spinning wheel.","{molding, shaping, forming}","{potter, clay, wheel}",{spinning},{potter}
"Surfers riding, gliding, and maneuvering on top of large ocean waves.","{riding, gliding, maneuvering}","{surfers, waves}","{large, ocean}",{surfers}
"Dancers leaping, jumping, and bounding across a stage during a ballet.","{leaping, jumping, bounding}","{dancers, stage, ballet}",{},{dancers}
"A magician levitating, floating, and hovering above the stage.","{levitating, floating, hovering}","{magician, stage}",{},{magician}
"Athletes sprinting, racing, and dashing towards the finish line.","{sprinting, racing, dashing}","{athletes, line}",{finish},{athletes}
"A painter sketching, drawing, and outlining a portrait on canvas.","{sketching, drawing, outlining}","{painter, portrait, canvas}",{},{painter}
"Firefighters climbing, scaling, and ascending a ladder to reach a burning building.","{climbing, scaling, ascending}","{firefighters, ladder, building}",{burning},{firefighters}
"A chef garnishing, decorating, and embellishing a gourmet dish.","{garnishing, decorating, embellishing}","{chef, dish}",{gourmet},{chef}
"Acrobats balancing, teetering, and maintaining equilibrium on a tightrope.","{balancing, teetering, maintaining}","{acrobats, tightrope}",{},{acrobats}
"A gardener pruning, trimming, and shaping hedges into ornate designs.","{pruning, trimming, shaping}","{gardener, hedges, designs}",{ornate},{gardener}
"Children building, constructing, and assembling a colorful Lego structure.","{building, constructing, assembling}","{children, structure}","{colorful, Lego}",{children}
"A sculptor carving, chiseling, and etching intricate details into marble.","{carving, chiseling, etching}","{sculptor, details, marble}",{intricate},{sculptor}
"A child swinging, swaying, and oscillating on a playground swing set.","{swinging, swaying, oscillating}","{child, swing, set}",{playground},{child}
"Two dogs chasing, pursuing, and running after a frisbee in a grassy field.","{chasing, pursuing, running}","{dogs, frisbee, field}",{grassy},{dogs}
"A chef chopping, dicing, and slicing vegetables on a wooden cutting board.","{chopping, dicing, slicing}","{chef, vegetables, board}",{wooden},{chef}
"A gymnast flipping, somersaulting, and rotating through the air during a performance.","{flipping, somersaulting, rotating}","{gymnast, air, performance}",{},{gymnast}
"A painter brushing, stroking, and applying vibrant colors onto a large canvas.","{brushing, stroking, applying}","{painter, colors, canvas}","{vibrant, large}",{painter}
"A surfer riding, gliding, and maneuvering on a massive ocean wave.","{riding, gliding, maneuvering}","{surfer, wave}","{massive, ocean}",{surfer}
"Firefighters extinguishing, dousing, and quenching flames in a burning building.","{extinguishing, dousing, quenching}","{firefighters, flames, building}",{burning},{firefighters}
"A cat pouncing, leaping, and jumping at a dangling toy mouse.","{pouncing, leaping, jumping}","{cat, toy, mouse}",{dangling},{cat}
"Musicians performing, playing, and strumming guitars on a dimly lit stage.","{performing, playing, strumming}","{musicians, guitars, stage}",{dimly lit},{musicians}
"A ballerina twirling, spinning, and pirouetting gracefully during a recital.","{twirling, spinning, pirouetting}","{ballerina, recital}",{gracefully},{ballerina}
"Children sliding, gliding, and descending down a colorful playground slide.","{sliding, gliding, descending}","{children, slide}","{colorful, playground}",{children}
"A magician conjuring, producing, and revealing a rabbit from a hat.","{conjuring, producing, revealing}","{magician, rabbit, hat}",{},{magician}
"Skateboarders grinding, sliding, and scraping along a metal rail in a skate park.","{grinding, sliding, scraping}","{skateboarders, rail, park}","{metal, skate}",{skateboarders}
"A tailor sewing, stitching, and mending a torn garment.","{sewing, stitching, mending}","{tailor, garment}",{torn},{tailor}
"Bakers kneading, folding, and shaping dough for fresh bread.","{kneading, folding, shaping}","{bakers, dough, bread}",{fresh},{bakers}
"A gardener planting, sowing, and burying seeds in rich soil.","{planting, sowing, burying}","{gardener, seeds, soil}",{rich},{gardener}
"Tourists photographing, capturing, and snapping pictures of a historic monument.","{photographing, capturing, snapping}","{tourists, pictures, monument}",{historic},{tourists}
"A carpenter sawing, cutting, and slicing through a thick wooden beam.","{sawing, cutting, slicing}","{carpenter, beam}","{thick, wooden}",{carpenter}
"Athletes sprinting, dashing, and racing towards the finish line on a track.","{sprinting, dashing, racing}","{athletes, line, track}",{finish},{athletes}
"A potter molding, shaping, and forming clay on a spinning wheel.","{molding, shaping, forming}","{potter, clay, wheel}",{spinning},{potter}
"Dancers swaying, moving, and grooving to the rhythm of music at a party.","{swaying, moving, grooving}","{dancers, rhythm, music, party}",{},{dancers}
"A juggler tossing, catching, and manipulating colorful balls in the air.","{tossing, catching, manipulating}","{juggler, balls, air}",{colorful},{juggler}
"Scientists examining, studying, and analyzing specimens under a microscope.","{examining, studying, analyzing}","{scientists, specimens, microscope}",{},{scientists}
"A climber ascending, scaling, and conquering a steep rocky cliff.","{ascending, scaling, conquering}","{climber, cliff}","{steep, rocky}",{climber}
"Kids building, constructing, and assembling a towering sandcastle on the beach.","{building, constructing, assembling}","{kids, sandcastle, beach}",{towering},{kids}
"A barista brewing, preparing, and crafting a latte with intricate foam art.","{brewing, preparing, crafting}","{barista, latte, art}","{intricate, foam}",{barista}
"Swimmers diving, plunging, and submerging into a crystal-clear pool.","{diving, plunging, submerging}","{swimmers, pool}",{crystal-clear},{swimmers}
"A mechanic repairing, fixing, and tuning up a vintage car engine.","{repairing, fixing, tuning}","{mechanic, car, engine}",{vintage},{mechanic}
"Beekeepers harvesting, collecting, and extracting honey from buzzing hives.","{harvesting, collecting, extracting}","{beekeepers, honey, hives}",{buzzing},{beekeepers}
"A conductor directing, guiding, and leading an orchestra during a symphony.","{directing, guiding, leading}","{conductor, orchestra, symphony}",{},{conductor}
"Actors rehearsing, practicing, and performing a dramatic scene on stage.","{rehearsing, practicing, performing}","{actors, scene, stage}",{dramatic},{actors}
"A sculptor carving, chiseling, and shaping a block of marble into a statue.","{carving, chiseling, shaping}","{sculptor, block, marble, statue}",{},{sculptor}
"Paramedics rescuing, saving, and evacuating people from a smoke-filled apartment.","{rescuing, saving, evacuating}","{paramedics, people, apartment}",{smoke-filled},{paramedics}
"A teacher instructing, explaining, and demonstrating a math problem to students.","{instructing, explaining, demonstrating}","{teacher, problem, students}",{math},{teacher}
"Cooks plating, arranging, and garnishing a gourmet dish in a restaurant kitchen.","{plating, arranging, garnishing}","{cooks, dish, kitchen}","{gourmet, restaurant}",{cooks}
"A photographer focusing, framing, and capturing a breathtaking landscape.","{focusing, framing, capturing}","{photographer, landscape}",{breathtaking},{photographer}
"Fans cheering, applauding, and celebrating as their team scores a goal.","{cheering, applauding, celebrating}","{fans, team, goal}",{},{fans}
"A pilot maneuvering, steering, and landing a plane on a runway.","{maneuvering, steering, landing}","{pilot, plane, runway}",{},{pilot}
"Scuba divers exploring, investigating, and discovering a colorful coral reef.","{exploring, investigating, discovering}","{divers, reef}","{colorful, coral}",{divers}
"A librarian organizing, shelving, and cataloging books in a quiet archive.","{organizing, shelving, cataloging}","{librarian, books, archive}",{quiet},{librarian}
"Engineers launching, propelling, and sending a rocket into space.","{launching, propelling, sending}","{engineers, rocket, space}",{},{engineers}
"Acrobats leaping, bounding, and soaring across a brightly lit circus ring.","{leaping, bounding, soaring}","{acrobats, ring}","{brightly lit, circus}",{acrobats}
"A farmer harvesting, gathering, and collecting ripe crops in a field.","{harvesting, gathering, collecting}","{farmer, crops, field}",{ripe},{farmer}
"Students experimenting, testing, and conducting a chemistry lab.","{experimenting, testing, conducting}","{students, lab}",{chemistry},{students}
"A hairstylist cutting, trimming, and styling a client's hair in a salon.","{cutting, trimming, styling}","{hairstylist, hair, client, salon}",{},{hairstylist}
"Tightrope walkers balancing, teetering, and maintaining equilibrium on a high wire.","{balancing, teetering, maintaining}","{walkers, wire}",{high},{walkers}
"A landscaper pruning, trimming, and shaping topiary bushes into animal forms.","{pruning, trimming, shaping}","{landscaper, bushes, forms}","{topiary, animal}",{landscaper}
"Chefs grilling, searing, and barbecuing meat on an outdoor grill.","{grilling, searing, barbecuing}","{chefs, meat, grill}",{outdoor},{chefs}
"A mime performing, gesturing, and acting out a scene without words.","{performing, gesturing, acting}","{mime, scene}",{},{mime}
"Weightlifters hoisting, lifting, and pressing heavy barbells in a gym.","{hoisting, lifting, pressing}","{weightlifters, barbells, gym}",{heavy},{weightlifters}
"A violinist bowing, playing, and performing a classical piece in a concert hall.","{bowing, playing, performing}","{violinist, piece, hall}","{classical, concert}",{violinist}
"Rescuers climbing, ascending, and scaling a ladder to reach a trapped victim.","{climbing, ascending, scaling}","{rescuers, ladder, victim}",{trapped},{rescuers}
"A decorator frosting, decorating, and embellishing a wedding cake with intricate designs.","{frosting, decorating, embellishing}","{decorator, cake, designs}","{wedding, intricate}",{decorator}
"Paddleboarders propelling, navigating, and balancing through choppy waves.","{propelling, navigating, balancing}","{paddleboarders, waves}",{choppy},{paddleboarders}
"An illusionist levitating, floating, and suspending an assistant in mid-air.","{levitating, floating, suspending}","{illusionist, assistant}",{mid-air},{illusionist}
"Toddlers fingerpainting, smearing, and spreading vibrant colors on large paper sheets.","{fingerpainting, smearing, spreading}","{toddlers, colors, sheets}","{vibrant, large}",{toddlers}
"A maestro waving, gesturing, and directing an orchestra during a performance.","{waving, gesturing, directing}","{maestro, orchestra, performance}",{},{maestro}
"Gymnasts tumbling, flipping, and somersaulting across a padded mat.","{tumbling, flipping, somersaulting}","{gymnasts, mat}",{padded},{gymnasts}
"A mixologist whisking, beating, and whipping cream for a cocktail.","{whisking, beating, whipping}","{mixologist, cream, cocktail}",{},{mixologist}
"Synchronized swimmers twirling, spinning, and rotating in perfect harmony.","{twirling, spinning, rotating}",{swimmers},"{synchronized, perfect}",{swimmers}
"An artisan chiseling, carving, and shaping a block of wood into a sculpture.","{chiseling, carving, shaping}","{artisan, block, wood, sculpture}",{},{artisan}
"Hurdlers leaping, jumping, and clearing obstacles on a race track.","{leaping, jumping, clearing}","{hurdlers, obstacles, track}",{race},{hurdlers}
"A weaver threading, intertwining, and creating intricate patterns on a loom.","{threading, intertwining, creating}","{weaver, patterns, loom}",{intricate},{weaver}
"Volunteers planting, sowing, and nurturing saplings in a reforestation project.","{planting, sowing, nurturing}","{volunteers, saplings, project}",{reforestation},{volunteers}
"A street performer juggling, tossing, and balancing multiple objects in the air.","{juggling, tossing, balancing}","{performer, objects, air}","{multiple, street}",{performer}
"Sledders sliding, gliding, and zooming down a snow-covered hill.","{sliding, gliding, zooming}","{sledders, hill}",{snow-covered},{sledders}
"A sushi chef filleting, deboning, and preparing fresh fish for nigiri.","{filleting, deboning, preparing}","{chef, fish, nigiri}","{fresh, sushi}",{chef}
"Salsa dancers twirling, spinning, and dipping on a crowded dance floor.","{twirling, spinning, dipping}","{dancers, floor}","{crowded, dance, salsa}",{dancers}
"An artist sketching, drawing, and outlining a portrait on textured paper.","{sketching, drawing, outlining}","{artist, portrait, paper}",{textured},{artist}
"Divers plunging, splashing, and entering a swimming pool during a competition.","{plunging, splashing, entering}","{divers, pool, competition}",{swimming},{divers}
"A seamstress measuring, cutting, and sewing fabric for a custom dress.","{measuring, cutting, sewing}","{seamstress, fabric, dress}",{custom},{seamstress}
"Figure skaters gliding, pirouetting, and performing on a frozen rink.","{gliding, pirouetting, performing}","{skaters, rink}","{frozen, figure}",{skaters}
"A ventriloquist animating, voicing, and manipulating a puppet during a show.","{animating, voicing, manipulating}","{ventriloquist, puppet, show}",{},{ventriloquist}
"Sous chefs chopping, dicing, and mincing ingredients in a bustling kitchen.","{chopping, dicing, mincing}","{chefs, ingredients, kitchen}","{bustling, sous}",{chefs}
"A pole vaulter sprinting, planting, and propelling over a high bar.","{sprinting, planting, propelling}","{vaulter, bar}","{high, pole}",{vaulter}
"Conservationists tagging, measuring, and releasing sea turtles on a shoreline.","{tagging, measuring, releasing}","{conservationists, turtles, shoreline}",{sea},{conservationists}
"A conductor cueing, signaling, and directing a choir during a performance.","{cueing, signaling, directing}","{conductor, choir, performance}",{},{conductor}
"Toddlers swinging, soaring, and laughing on playground swings.","{swinging, soaring, laughing}","{toddlers, swings}",{playground},{toddlers}
"A ceramicist molding, shaping, and glazing clay pots on a pottery wheel.","{molding, shaping, glazing}","{ceramicist, pots, wheel}","{clay, pottery}",{ceramicist}
"Windsurfers riding, gliding, and maneuvering across choppy waters.","{riding, gliding, maneuvering}","{windsurfers, waters}",{choppy},{windsurfers}
"Ballet dancers leaping, jumping, and pirouetting across a polished stage.","{leaping, jumping, pirouetting}","{dancers, stage}","{polished, ballet}",{dancers}
"An escape artist contorting, wriggling, and freeing himself from chains.","{contorting, wriggling, freeing}","{artist, chains}",{escape},{artist}
"Sprinters crouching, launching, and accelerating from starting blocks.","{crouching, launching, accelerating}","{sprinters, blocks}",{starting},{sprinters}
"A muralist sketching, painting, and detailing a large-scale artwork on a wall.","{sketching, painting, detailing}","{muralist, artwork, wall}",{large-scale},{muralist}
"Firefighters rappelling, descending, and scaling down a building facade.","{rappelling, descending, scaling}","{firefighters, facade}",{building},{firefighters}
"A chocolatier tempering, molding, and sculpting intricate chocolate figures.","{tempering, molding, sculpting}","{chocolatier, figures}","{intricate, chocolate}",{chocolatier}
"Contortionists bending, twisting, and flexing their bodies into impossible shapes.","{bending, twisting, flexing}","{contortionists, bodies, shapes}",{impossible},{contortionists}
"A kitten pouncing, leaping, and springing at a dangling feather toy.","{pouncing, leaping, springing}","{kitten, feather, toy}",{dangling},{kitten}
"Bees buzzing, hovering, and pollinating colorful flowers in a garden.","{buzzing, hovering, pollinating}","{bees, flowers, garden}",{colorful},{bees}
"A barber trimming, snipping, and styling a customer's hair.","{trimming, snipping, styling}","{barber, customer, hair}",{},{barber}
"Waves crashing, breaking, and surging against a rocky shoreline.","{crashing, breaking, surging}","{waves, shoreline}",{rocky},{waves}
"A pianist playing, tickling, and caressing the keys of a grand piano.","{playing, tickling, caressing}","{pianist, keys, piano}",{grand},{pianist}
"Children laughing, giggling, and chuckling while riding a merry-go-round.","{laughing, giggling, chuckling}","{children, merry-go-round}",{},{children}
"A chef flipping, tossing, and turning pancakes on a sizzling griddle.","{flipping, tossing, turning}","{chef, pancakes, griddle}",{sizzling},{chef}
"Leaves falling, drifting, and floating from autumn trees.","{falling, drifting, floating}","{leaves, trees}",{autumn},{leaves}
"A dog fetching, retrieving, and carrying a stick in its mouth.","{fetching, retrieving, carrying}","{dog, stick, mouth}",{},{dog}
"Firefighters hosing, spraying, and dousing flames engulfing a building.","{hosing, spraying, dousing}","{firefighters, flames, building}",{engulfing},{firefighters}
"A painter brushing, dabbing, and smearing vibrant colors on a canvas.","{brushing, dabbing, smearing}","{painter, colors, canvas}",{vibrant},{painter}
"Snowflakes falling, swirling, and drifting in the winter air.","{falling, swirling, drifting}","{snowflakes, air}",{winter},{snowflakes}
"A gymnast somersaulting, flipping, and twisting on a balance beam.","{somersaulting, flipping, twisting}","{gymnast, beam}",{balance},{gymnast}
"Elephants trumpeting, bellowing, and calling in a wildlife reserve.","{trumpeting, bellowing, calling}","{elephants, reserve}",{wildlife},{elephants}
"A seamstress stitching, sewing, and embroidering intricate patterns on fabric.","{stitching, sewing, embroidering}","{seamstress, patterns, fabric}",{intricate},{seamstress}
"Surfers paddling, riding, and carving through massive ocean waves.","{paddling, riding, carving}","{surfers, waves}","{massive, ocean}",{surfers}
"A magician conjuring, materializing, and producing a bouquet of flowers.","{conjuring, materializing, producing}","{magician, bouquet, flowers}",{},{magician}
"Butterflies fluttering, floating, and alighting on colorful blossoms.","{fluttering, floating, alighting}","{butterflies, blossoms}",{colorful},{butterflies}
"A sculptor chiseling, carving, and shaping a block of marble.","{chiseling, carving, shaping}","{sculptor, block, marble}",{},{sculptor}
"Runners sprinting, dashing, and racing towards the finish line.","{sprinting, dashing, racing}","{runners, line}",{finish},{runners}
"A violinist bowing, plucking, and strumming the strings of a violin.","{bowing, plucking, strumming}","{violinist, strings, violin}",{},{violinist}
"Fish swimming, darting, and gliding through a coral reef.","{swimming, darting, gliding}","{fish, reef}",{coral},{fish}
"A juggler tossing, catching, and balancing multiple balls in the air.","{tossing, catching, balancing}","{juggler, balls, air}",{multiple},{juggler}
"Raindrops falling, splashing, and trickling down a window pane.","{falling, splashing, trickling}","{raindrops, window, pane}",{},{raindrops}
"A potter molding, shaping, and throwing clay on a spinning wheel.","{molding, shaping, throwing}","{potter, clay, wheel}",{spinning},{potter}
"Ballerinas twirling, pirouetting, and leaping across a stage.","{twirling, pirouetting, leaping}","{ballerinas, stage}",{},{ballerinas}
"A chef stirring, mixing, and blending ingredients in a simmering pot.","{stirring, mixing, blending}","{chef, ingredients, pot}",{simmering},{chef}
"Wolves howling, baying, and calling to the full moon.","{howling, baying, calling}","{wolves, moon}",{full},{wolves}
"A tailor measuring, cutting, and pinning fabric for a suit.","{measuring, cutting, pinning}","{tailor, fabric, suit}",{},{tailor}
"Birds soaring, gliding, and swooping through the sky.","{soaring, gliding, swooping}","{birds, sky}",{},{birds}
"A drummer beating, pounding, and tapping on various percussion instruments.","{beating, pounding, tapping}","{drummer, instruments}","{various, percussion}",{drummer}
"Leaves rustling, whispering, and swaying in the breeze.","{rustling, whispering, swaying}","{leaves, breeze}",{},{leaves}
"A baker kneading, folding, and shaping dough for bread.","{kneading, folding, shaping}","{baker, dough, bread}",{},{baker}
"Fireworks exploding, bursting, and illuminating the night sky.","{exploding, bursting, illuminating}","{fireworks, sky}",{night},{fireworks}
"A gardener planting, watering, and nurturing seedlings in a greenhouse.","{planting, watering, nurturing}","{gardener, seedlings, greenhouse}",{},{gardener}
"Dancers swaying, twirling, and moving to the rhythm of salsa music.","{swaying, twirling, moving}","{dancers, rhythm, music}",{salsa},{dancers}
"A blacksmith hammering, forging, and shaping hot metal on an anvil.","{hammering, forging, shaping}","{blacksmith, metal, anvil}",{hot},{blacksmith}
"Skaters gliding, spinning, and performing jumps on an ice rink.","{gliding, spinning, performing}","{skaters, jumps, rink}",{ice},{skaters}
"A weaver threading, intertwining, and creating patterns on a loom.","{threading, intertwining, creating}","{weaver, patterns, loom}",{},{weaver}
