Caption,Visual Attributes
"Bright, colorful, busy, historic, rugged landscapes stretch endlessly under a golden sun.","{'bright', 'colorful', 'busy', 'historic', 'rugged'}"
"A spotted, beautiful, rustic, sleek, red sunset paints the horizon with vibrant colors.","{'spotted', 'beautiful', 'rustic', 'sleek', 'red'}"
"Vivid, mountain, lush hills are visible in the distance beyond a winding river.","{'vivid', 'mountain', 'lush'}"
"Ancient, golden, soft wildflowers bloom in a meadow under a bright sky.","{'ancient', 'golden', 'soft'}"
"Modern, delicate, grand, wooden, soft hills are visible in the distance beyond a winding river.","{'modern', 'delicate', 'grand', 'wooden', 'soft'}"
"A rugged, calm, bold sunset paints the horizon with vibrant colors.","{'rugged', 'calm', 'bold'}"
"Vivid, tall, snowy, bright hills are visible in the distance beyond a winding river.","{'vivid', 'tall', 'snowy', 'bright'}"
"A majestic, cozy, white sunset paints the horizon with vibrant colors.","{'majestic', 'cozy', 'white'}"
"A painter captures a mountain, soft, white scene of nature on canvas.","{'mountain', 'soft', 'white'}"
"Dynamic, spotted, playful wildflowers bloom in a meadow under a bright sky.","{'dynamic', 'spotted', 'playful'}"
"A serene, white sunset paints the horizon with vibrant colors.","{'serene', 'white'}"
"A cluster of rugged, vibrant, white, natural, lush houses sits atop a steep cliff by the ocean.","{'rugged', 'vibrant', 'white', 'natural', 'lush'}"
"An old wooden bridge stands over a golden, soft and tranquil stream.","{'golden', 'soft'}"
"A painter captures a blue, red, cozy scene of nature on canvas.","{'blue', 'red', 'cozy'}"
"A painter captures a white, sleek scene of nature on canvas.","{'white', 'sleek'}"
"Busy, black, historic, ancient, bright birds flutter above a serene and glistening pond.","{'busy', 'black', 'historic', 'ancient', 'bright'}"
"A painter captures a busy, wooden, vibrant, golden, spotted scene of nature on canvas.","{'busy', 'wooden', 'vibrant', 'golden', 'spotted'}"
"Wooden, white, golden, cozy wildflowers bloom in a meadow under a bright sky.","{'wooden', 'white', 'golden', 'cozy'}"
"Green, small, snowy, calm, vivid landscapes stretch endlessly under a golden sun.","{'green', 'small', 'snowy', 'calm', 'vivid'}"
"Natural, modern landscapes stretch endlessly under a golden sun.","{'natural', 'modern'}"
"A blue, golden, modern sunset paints the horizon with vibrant colors.","{'blue', 'golden', 'modern'}"
"Dynamic, modern, cozy birds flutter above a serene and glistening pond.","{'dynamic', 'modern', 'cozy'}"
"Lush, busy, spotted, mountain, golden wildflowers bloom in a meadow under a bright sky.","{'lush', 'busy', 'spotted', 'mountain', 'golden'}"
"Busy, beautiful, mountain architecture marks the skyline of a bustling city.","{'busy', 'beautiful', 'mountain'}"
"A cluster of busy, mountain, rugged, tall houses sits atop a steep cliff by the ocean.","{'busy', 'mountain', 'rugged', 'tall'}"
"Natural, small, bright wildflowers bloom in a meadow under a bright sky.","{'natural', 'small', 'bright'}"
"Bright, modern, small architecture marks the skyline of a bustling city.","{'bright', 'modern', 'small'}"
"Sleek, mountain, rugged architecture marks the skyline of a bustling city.","{'sleek', 'mountain', 'rugged'}"
"Bold, natural, bright trees sway gently in the cool autumn breeze.","{'bold', 'natural', 'bright'}"
"A painter captures a ancient, artistic, sleek scene of nature on canvas.","{'ancient', 'artistic', 'sleek'}"
"Tall, vivid, grand, bright, ancient trees sway gently in the cool autumn breeze.","{'tall', 'vivid', 'grand', 'bright', 'ancient'}"
"An old wooden bridge stands over a lush, playful, historic, bold and tranquil stream.","{'lush', 'playful', 'historic', 'bold'}"
"Serene, black hills are visible in the distance beyond a winding river.","{'serene', 'black'}"
"Wooden, lush architecture marks the skyline of a bustling city.","{'wooden', 'lush'}"
"A painter captures a serene, vibrant, golden, red scene of nature on canvas.","{'serene', 'vibrant', 'golden', 'red'}"
"A ancient, spotted, mountain, small, rugged sunset paints the horizon with vibrant colors.","{'ancient', 'spotted', 'mountain', 'small', 'rugged'}"
"A cluster of majestic, historic houses sits atop a steep cliff by the ocean.","{'majestic', 'historic'}"
"An old wooden bridge stands over a historic, snowy, bold and tranquil stream.","{'historic', 'snowy', 'bold'}"
"Majestic, vibrant, blue, bold, natural architecture marks the skyline of a bustling city.","{'majestic', 'vibrant', 'blue', 'bold', 'natural'}"
"An old wooden bridge stands over a playful, cozy, tall and tranquil stream.","{'playful', 'cozy', 'tall'}"
"Calm, delicate, shiny hills are visible in the distance beyond a winding river.","{'calm', 'delicate', 'shiny'}"
"Black, bold, small, soft hills are visible in the distance beyond a winding river.","{'black', 'bold', 'small', 'soft'}"
"Rustic, mountain, dynamic hills are visible in the distance beyond a winding river.","{'rustic', 'mountain', 'dynamic'}"
"A cluster of playful, mountain, busy, dynamic, delicate houses sits atop a steep cliff by the ocean.","{'playful', 'mountain', 'busy', 'dynamic', 'delicate'}"
"Spotted, lush, ancient, tall, beautiful birds flutter above a serene and glistening pond.","{'spotted', 'lush', 'ancient', 'tall', 'beautiful'}"
"Black, artistic wildflowers bloom in a meadow under a bright sky.","{'black', 'artistic'}"
"Green, golden, calm architecture marks the skyline of a bustling city.","{'green', 'golden', 'calm'}"
"Mountain, vivid trees sway gently in the cool autumn breeze.","{'mountain', 'vivid'}"
"Lush, shiny trees sway gently in the cool autumn breeze.","{'lush', 'shiny'}"
"An old wooden bridge stands over a spotted, black, rugged, delicate, busy and tranquil stream.","{'spotted', 'black', 'rugged', 'delicate', 'busy'}"
"Tall, cozy, vibrant, soft, historic birds flutter above a serene and glistening pond.","{'tall', 'cozy', 'vibrant', 'soft', 'historic'}"
"A painter captures a majestic, modern, bold scene of nature on canvas.","{'majestic', 'modern', 'bold'}"
"Beautiful, mountain, shiny architecture marks the skyline of a bustling city.","{'beautiful', 'mountain', 'shiny'}"
"Spotted, colorful, rustic, tall architecture marks the skyline of a bustling city.","{'spotted', 'colorful', 'rustic', 'tall'}"
"Sleek, red birds flutter above a serene and glistening pond.","{'sleek', 'red'}"
"Delicate, sleek, bright, playful, cozy architecture marks the skyline of a bustling city.","{'delicate', 'sleek', 'bright', 'playful', 'cozy'}"
"Wooden, serene, grand, white trees sway gently in the cool autumn breeze.","{'wooden', 'serene', 'grand', 'white'}"
"A cluster of sleek, spotted houses sits atop a steep cliff by the ocean.","{'sleek', 'spotted'}"
"A cluster of red, natural, bright, lush, black houses sits atop a steep cliff by the ocean.","{'red', 'natural', 'bright', 'lush', 'black'}"
"Bold, shiny, delicate, cozy landscapes stretch endlessly under a golden sun.","{'bold', 'shiny', 'delicate', 'cozy'}"
"A dynamic, ancient, calm, small, wild sunset paints the horizon with vibrant colors.","{'dynamic', 'ancient', 'calm', 'small', 'wild'}"
"An old wooden bridge stands over a wooden, beautiful, serene, rustic, wild and tranquil stream.","{'wooden', 'beautiful', 'serene', 'rustic', 'wild'}"
"Wooden, white, historic architecture marks the skyline of a bustling city.","{'wooden', 'white', 'historic'}"
"A painter captures a dynamic, vibrant scene of nature on canvas.","{'dynamic', 'vibrant'}"
"An old wooden bridge stands over a calm, playful and tranquil stream.","{'calm', 'playful'}"
"A painter captures a shiny, red, cozy scene of nature on canvas.","{'shiny', 'red', 'cozy'}"
"A delicate, wild, tall, blue, beautiful sunset paints the horizon with vibrant colors.","{'delicate', 'wild', 'tall', 'blue', 'beautiful'}"
"A painter captures a dynamic, serene, mountain, sleek, cozy scene of nature on canvas.","{'dynamic', 'serene', 'mountain', 'sleek', 'cozy'}"
"Vivid, colorful wildflowers bloom in a meadow under a bright sky.","{'vivid', 'colorful'}"
"Dynamic, wooden, ancient trees sway gently in the cool autumn breeze.","{'dynamic', 'wooden', 'ancient'}"
"Artistic, delicate hills are visible in the distance beyond a winding river.","{'artistic', 'delicate'}"
"A painter captures a wild, white, vivid, colorful, snowy scene of nature on canvas.","{'wild', 'white', 'vivid', 'colorful', 'snowy'}"
"Dynamic, majestic, natural, green, lush birds flutter above a serene and glistening pond.","{'dynamic', 'majestic', 'natural', 'green', 'lush'}"
"Wild, vivid, dynamic, historic, grand architecture marks the skyline of a bustling city.","{'wild', 'vivid', 'dynamic', 'historic', 'grand'}"
"A wooden, vivid sunset paints the horizon with vibrant colors.","{'wooden', 'vivid'}"
"An old wooden bridge stands over a playful, colorful and tranquil stream.","{'playful', 'colorful'}"
"Historic, cozy, sleek landscapes stretch endlessly under a golden sun.","{'historic', 'cozy', 'sleek'}"
"A snowy, wooden, tall, playful, serene sunset paints the horizon with vibrant colors.","{'snowy', 'wooden', 'tall', 'playful', 'serene'}"
"Vivid, ancient, historic, small, grand wildflowers bloom in a meadow under a bright sky.","{'vivid', 'ancient', 'historic', 'small', 'grand'}"
"A cluster of green, grand, dynamic, shiny houses sits atop a steep cliff by the ocean.","{'green', 'grand', 'dynamic', 'shiny'}"
"A rugged, small, calm, ancient, delicate sunset paints the horizon with vibrant colors.","{'rugged', 'small', 'calm', 'ancient', 'delicate'}"
"Ancient, grand, cozy, busy, calm trees sway gently in the cool autumn breeze.","{'ancient', 'grand', 'cozy', 'busy', 'calm'}"
"A white, soft sunset paints the horizon with vibrant colors.","{'white', 'soft'}"
"A cluster of grand, rustic, dynamic houses sits atop a steep cliff by the ocean.","{'grand', 'rustic', 'dynamic'}"
"Beautiful, calm, green hills are visible in the distance beyond a winding river.","{'beautiful', 'calm', 'green'}"
"Historic, soft, dynamic trees sway gently in the cool autumn breeze.","{'historic', 'soft', 'dynamic'}"
"Tall, red, mountain, beautiful architecture marks the skyline of a bustling city.","{'tall', 'red', 'mountain', 'beautiful'}"
"Busy, modern birds flutter above a serene and glistening pond.","{'busy', 'modern'}"
"Green, wooden, vibrant, snowy, black wildflowers bloom in a meadow under a bright sky.","{'green', 'wooden', 'vibrant', 'snowy', 'black'}"
"Golden, historic, shiny, grand, dynamic birds flutter above a serene and glistening pond.","{'golden', 'historic', 'shiny', 'grand', 'dynamic'}"
"Lush, playful landscapes stretch endlessly under a golden sun.","{'lush', 'playful'}"
"A modern, calm, shiny sunset paints the horizon with vibrant colors.","{'modern', 'calm', 'shiny'}"
"Bold, shiny, colorful landscapes stretch endlessly under a golden sun.","{'bold', 'shiny', 'colorful'}"
"Ancient, wild, red, mountain wildflowers bloom in a meadow under a bright sky.","{'ancient', 'wild', 'red', 'mountain'}"
"A shiny, small sunset paints the horizon with vibrant colors.","{'shiny', 'small'}"
"A modern, vibrant, green sunset paints the horizon with vibrant colors.","{'modern', 'vibrant', 'green'}"
"An old wooden bridge stands over a historic, golden, sleek, playful, beautiful and tranquil stream.","{'historic', 'golden', 'sleek', 'playful', 'beautiful'}"
"A painter captures a snowy, artistic, mountain scene of nature on canvas.","{'snowy', 'artistic', 'mountain'}"
"Tall, bright, snowy birds flutter above a serene and glistening pond.","{'tall', 'bright', 'snowy'}"
"A cluster of serene, modern, delicate houses sits atop a steep cliff by the ocean.","{'serene', 'modern', 'delicate'}"
"A wooden, green, spotted, majestic sunset paints the horizon with vibrant colors.","{'wooden', 'green', 'spotted', 'majestic'}"
"A painter captures a colorful, artistic, wild, calm scene of nature on canvas.","{'colorful', 'artistic', 'wild', 'calm'}"
"An old wooden bridge stands over a modern, serene, golden, vibrant and tranquil stream.","{'modern', 'serene', 'golden', 'vibrant'}"
"A painter captures a delicate, rugged, green, rustic, mountain scene of nature on canvas.","{'delicate', 'rugged', 'green', 'rustic', 'mountain'}"
"A painter captures a rustic, cozy, bright scene of nature on canvas.","{'rustic', 'cozy', 'bright'}"
"Shiny, soft, serene, natural, snowy wildflowers bloom in a meadow under a bright sky.","{'shiny', 'soft', 'serene', 'natural', 'snowy'}"
"Snowy, small, cozy, blue, lush birds flutter above a serene and glistening pond.","{'snowy', 'small', 'cozy', 'blue', 'lush'}"
"Wild, rugged landscapes stretch endlessly under a golden sun.","{'wild', 'rugged'}"
"Busy, wild landscapes stretch endlessly under a golden sun.","{'busy', 'wild'}"
"Shiny, dynamic, grand, serene, mountain birds flutter above a serene and glistening pond.","{'shiny', 'dynamic', 'grand', 'serene', 'mountain'}"
"Playful, beautiful architecture marks the skyline of a bustling city.","{'playful', 'beautiful'}"
"A painter captures a vivid, spotted scene of nature on canvas.","{'vivid', 'spotted'}"
"Sleek, majestic, modern, dynamic hills are visible in the distance beyond a winding river.","{'sleek', 'majestic', 'modern', 'dynamic'}"
"Red, rugged, cozy, playful trees sway gently in the cool autumn breeze.","{'red', 'rugged', 'cozy', 'playful'}"
"Lush, shiny, soft, artistic, beautiful trees sway gently in the cool autumn breeze.","{'lush', 'shiny', 'soft', 'artistic', 'beautiful'}"
"An old wooden bridge stands over a golden, modern, sleek, soft and tranquil stream.","{'golden', 'modern', 'sleek', 'soft'}"
"A historic, golden, red, modern, black sunset paints the horizon with vibrant colors.","{'historic', 'golden', 'red', 'modern', 'black'}"
"A vibrant, sleek sunset paints the horizon with vibrant colors.","{'vibrant', 'sleek'}"
"Shiny, serene, busy, ancient, lush wildflowers bloom in a meadow under a bright sky.","{'shiny', 'serene', 'busy', 'ancient', 'lush'}"
"Bright, calm, bold, shiny hills are visible in the distance beyond a winding river.","{'bright', 'calm', 'bold', 'shiny'}"
"Wooden, red, white, blue landscapes stretch endlessly under a golden sun.","{'wooden', 'red', 'white', 'blue'}"
"A painter captures a majestic, small, green scene of nature on canvas.","{'majestic', 'small', 'green'}"
"Lush, vivid landscapes stretch endlessly under a golden sun.","{'lush', 'vivid'}"
"White, wild, green, dynamic, red wildflowers bloom in a meadow under a bright sky.","{'white', 'wild', 'green', 'dynamic', 'red'}"
"A cluster of beautiful, tall, wild houses sits atop a steep cliff by the ocean.","{'beautiful', 'tall', 'wild'}"
"White, rustic, modern, lush, natural landscapes stretch endlessly under a golden sun.","{'white', 'rustic', 'modern', 'lush', 'natural'}"
"Black, calm, green, grand architecture marks the skyline of a bustling city.","{'black', 'calm', 'green', 'grand'}"
"Grand, natural architecture marks the skyline of a bustling city.","{'grand', 'natural'}"
"Busy, tall, natural, historic, grand architecture marks the skyline of a bustling city.","{'busy', 'tall', 'natural', 'historic', 'grand'}"
"An old wooden bridge stands over a colorful, cozy and tranquil stream.","{'colorful', 'cozy'}"
"Wild, dynamic, cozy trees sway gently in the cool autumn breeze.","{'wild', 'dynamic', 'cozy'}"
"Golden, rugged, historic, mountain, wooden trees sway gently in the cool autumn breeze.","{'golden', 'rugged', 'historic', 'mountain', 'wooden'}"
"Majestic, vibrant, snowy, busy, beautiful trees sway gently in the cool autumn breeze.","{'majestic', 'vibrant', 'snowy', 'busy', 'beautiful'}"
"Vivid, wooden birds flutter above a serene and glistening pond.","{'vivid', 'wooden'}"
"Red, ancient, sleek, wild, rugged wildflowers bloom in a meadow under a bright sky.","{'red', 'ancient', 'sleek', 'wild', 'rugged'}"
"Historic, wild, black, colorful architecture marks the skyline of a bustling city.","{'historic', 'wild', 'black', 'colorful'}"
"A snowy, black, lush sunset paints the horizon with vibrant colors.","{'snowy', 'black', 'lush'}"
"A wild, calm sunset paints the horizon with vibrant colors.","{'wild', 'calm'}"
"A painter captures a historic, golden scene of nature on canvas.","{'historic', 'golden'}"
"Grand, sleek, vibrant, bright birds flutter above a serene and glistening pond.","{'grand', 'sleek', 'vibrant', 'bright'}"
"Serene, white architecture marks the skyline of a bustling city.","{'serene', 'white'}"
"An old wooden bridge stands over a colorful, blue, modern, small, sleek and tranquil stream.","{'colorful', 'blue', 'modern', 'small', 'sleek'}"
"Ancient, vibrant, shiny trees sway gently in the cool autumn breeze.","{'ancient', 'vibrant', 'shiny'}"
"Busy, modern, colorful hills are visible in the distance beyond a winding river.","{'busy', 'modern', 'colorful'}"
"Natural, grand, dynamic, ancient architecture marks the skyline of a bustling city.","{'natural', 'grand', 'dynamic', 'ancient'}"
"A painter captures a modern, artistic, calm, tall, lush scene of nature on canvas.","{'modern', 'artistic', 'calm', 'tall', 'lush'}"
"Soft, sleek trees sway gently in the cool autumn breeze.","{'soft', 'sleek'}"
"White, spotted hills are visible in the distance beyond a winding river.","{'white', 'spotted'}"
"Blue, ancient, red, beautiful birds flutter above a serene and glistening pond.","{'blue', 'ancient', 'red', 'beautiful'}"
"Modern, serene, calm, artistic, tall hills are visible in the distance beyond a winding river.","{'modern', 'serene', 'calm', 'artistic', 'tall'}"
"A painter captures a green, majestic scene of nature on canvas.","{'green', 'majestic'}"
"Grand, bold wildflowers bloom in a meadow under a bright sky.","{'grand', 'bold'}"
"Tall, artistic, wild, modern hills are visible in the distance beyond a winding river.","{'tall', 'artistic', 'wild', 'modern'}"
"A painter captures a vibrant, playful, majestic scene of nature on canvas.","{'vibrant', 'playful', 'majestic'}"
"Modern, calm landscapes stretch endlessly under a golden sun.","{'modern', 'calm'}"
"Red, delicate, soft, artistic birds flutter above a serene and glistening pond.","{'red', 'delicate', 'soft', 'artistic'}"
"Artistic, rugged wildflowers bloom in a meadow under a bright sky.","{'artistic', 'rugged'}"
"A natural, dynamic, modern sunset paints the horizon with vibrant colors.","{'natural', 'dynamic', 'modern'}"
"Green, wild, bold, black, vivid hills are visible in the distance beyond a winding river.","{'green', 'wild', 'bold', 'black', 'vivid'}"
"Vibrant, rugged, dynamic, green, natural architecture marks the skyline of a bustling city.","{'vibrant', 'rugged', 'dynamic', 'green', 'natural'}"
"A beautiful, modern, grand, red sunset paints the horizon with vibrant colors.","{'beautiful', 'modern', 'grand', 'red'}"
"Green, tall, sleek birds flutter above a serene and glistening pond.","{'green', 'tall', 'sleek'}"
"White, red, dynamic, wooden birds flutter above a serene and glistening pond.","{'white', 'red', 'dynamic', 'wooden'}"
"Beautiful, colorful, serene trees sway gently in the cool autumn breeze.","{'beautiful', 'colorful', 'serene'}"
"Bright, natural, dynamic, historic, colorful hills are visible in the distance beyond a winding river.","{'bright', 'natural', 'dynamic', 'historic', 'colorful'}"
"Artistic, green, beautiful, red, white trees sway gently in the cool autumn breeze.","{'artistic', 'green', 'beautiful', 'red', 'white'}"
"Bright, rustic trees sway gently in the cool autumn breeze.","{'bright', 'rustic'}"
"Historic, cozy birds flutter above a serene and glistening pond.","{'historic', 'cozy'}"
"Red, shiny, small birds flutter above a serene and glistening pond.","{'red', 'shiny', 'small'}"
"Serene, rustic, ancient, bright wildflowers bloom in a meadow under a bright sky.","{'serene', 'rustic', 'ancient', 'bright'}"
"A soft, majestic, cozy, white sunset paints the horizon with vibrant colors.","{'soft', 'majestic', 'cozy', 'white'}"
"A painter captures a dynamic, bold scene of nature on canvas.","{'dynamic', 'bold'}"
"A rugged, vibrant sunset paints the horizon with vibrant colors.","{'rugged', 'vibrant'}"
"Blue, golden, delicate, rugged, beautiful wildflowers bloom in a meadow under a bright sky.","{'blue', 'golden', 'delicate', 'rugged', 'beautiful'}"
"A grand, majestic, rustic, beautiful, white sunset paints the horizon with vibrant colors.","{'grand', 'majestic', 'rustic', 'beautiful', 'white'}"
"Sleek, delicate, white architecture marks the skyline of a bustling city.","{'sleek', 'delicate', 'white'}"
"Mountain, calm, natural architecture marks the skyline of a bustling city.","{'mountain', 'calm', 'natural'}"
"Small, soft wildflowers bloom in a meadow under a bright sky.","{'small', 'soft'}"
"Vivid, beautiful, serene, blue landscapes stretch endlessly under a golden sun.","{'vivid', 'beautiful', 'serene', 'blue'}"
"Ancient, busy, bold, bright trees sway gently in the cool autumn breeze.","{'ancient', 'busy', 'bold', 'bright'}"
"Shiny, vibrant, serene, beautiful birds flutter above a serene and glistening pond.","{'shiny', 'vibrant', 'serene', 'beautiful'}"
"Beautiful, delicate, red birds flutter above a serene and glistening pond.","{'beautiful', 'delicate', 'red'}"
"Bright, snowy birds flutter above a serene and glistening pond.","{'bright', 'snowy'}"
"Natural, majestic, cozy, modern wildflowers bloom in a meadow under a bright sky.","{'natural', 'majestic', 'cozy', 'modern'}"
"A cluster of vibrant, busy, red houses sits atop a steep cliff by the ocean.","{'vibrant', 'busy', 'red'}"
"Vivid, lush, delicate, majestic hills are visible in the distance beyond a winding river.","{'vivid', 'lush', 'delicate', 'majestic'}"
"Historic, rustic, shiny hills are visible in the distance beyond a winding river.","{'historic', 'rustic', 'shiny'}"
"Rugged, small, lush, black wildflowers bloom in a meadow under a bright sky.","{'rugged', 'small', 'lush', 'black'}"
"Bold, serene, colorful architecture marks the skyline of a bustling city.","{'bold', 'serene', 'colorful'}"
