image_id,original_caption,BLIP_caption,GIT_caption,VIT-GPT2_caption,BLIP-Large_caption,voted_adjectives
image_31,"Bright, wild, delicate architecture marks the skyline of a bustling city.",a large group of colorful buildings in the city,a city in the sky,a cityscape of a city with buildings ,a close up of a city with many buildings and a clock,[]
image_32,"A painter captures a snowy, sleek, small, black scene of nature on canvas.",a painting of a snowy scene with trees and a river,painting of a snowy landscape,a snowy landscape with a river and trees ,painting of a snowy landscape with trees and a river,['snowy']
image_33,"Green, rugged wildflowers bloom in a meadow under a bright sky.",wildflowers in the mountains,a field of flowers,a field with a bunch of flowers in it ,a field full of purple and yellow flowers in the mountains,[]
image_34,"Bold, playful, cozy, grand hills are visible in the distance beyond a winding river.",a painting of a river in the mountains,the river in the mountains,a river with a bunch of trees and mountains ,a painting of a river running through a valley surrounded by trees,[]
image_35,"Sleek, majestic, bright landscapes stretch endlessly under a golden sun.",a painting of a sunset in the desert,a painting of a sunset,a river with a sunset in it ,a painting of a sunset with trees and a stream,[]
image_36,"Golden, playful wildflowers bloom in a meadow under a bright sky.",a field of wildflowers in the mountains,the flowers are yellow,a field with a bunch of flowers in it ,a close up of a field of flowers with a sun in the background,[]
image_37,"Cozy, wooden, vibrant, calm, rustic trees sway gently in the cool autumn breeze.",a painting of a road surrounded by trees,the painting is a painting,a painting of a forest with trees and a couple of trees ,a painting of a path through a forest with trees in the fall,[]
image_38,"Rugged, rustic landscapes stretch endlessly under a golden sun.",a sunset scene with a small house and a dirt road,the road to the house,a view from a boat of a beach with a lighthouse ,painting of a dirt road leading to a barn in a field,[]
image_39,"Wild, white, vivid, snowy, bright trees sway gently in the cool autumn breeze.",a forest with tall trees and bright yellow leaves,the sky is blue and clear,a forest filled with lots of trees and a sky background ,a view of a forest with tall trees and bright yellow leaves,"['tall', 'bright', 'yellow']"
image_40,"A cluster of grand, wild, vibrant houses sits atop a steep cliff by the ocean.",a colorful illustration of houses on the cliff,a painting of a town,a scenic view of a beach with boats and houses ,brightly colored houses on a cliff overlooking the ocean,[]
image_41,"Blue, calm, shiny, red, rugged wildflowers bloom in a meadow under a bright sky.",wildflowers in the mountains at sunset,wildflowers in the mountains,a flower arrangement in a field with a sky background ,a field full of red and blue flowers with the sun setting in the background,[]
image_42,"A small, colorful, dynamic, calm sunset paints the horizon with vibrant colors.",a painting of a sunset over the ocean,the sun sets over the ocean,a sunset shot of a sunset with a bunch of water ,a painting of a sunset over the ocean with rocks,[]
image_43,"A white, vivid, colorful, lush, dynamic sunset paints the horizon with vibrant colors.",a painting of a sunset over the ocean,painting of a sunset by the ocean,a sunset view of a beach with a sunset ,a painting of a sunset over the ocean with a wave coming in,[]
image_44,"Serene, black, golden birds flutter above a serene and glistening pond.",a painting of two birds flying over a pond,painting of a bird,a bird is standing in the water with a bunch of birds ,there are two birds that are flying over a pond,[]
image_45,"Shiny, rustic, spotted, snowy, ancient landscapes stretch endlessly under a golden sun.",a snowy landscape with a mountain in the background,a painting of a snowy mountain,a snowy mountain range with a train on it ,snowy mountain landscape with a village in the foreground,['snowy']
image_46,"Delicate, grand, rugged landscapes stretch endlessly under a golden sun.",a desert scene with a rock formation and a sunset,the sky is cloudy,a mountain range with a sunset ,araffes in the desert with a rock formation in the background,[]
image_47,"An old wooden bridge stands over a wooden, sleek and tranquil stream.",a bridge over a stream in the woods,the bridge is made of wood,a wooden bench sitting next to a river ,arafed bridge over a stream in a forest with rocks and boulders,[]
image_48,"Ancient, artistic, soft, cozy architecture marks the skyline of a bustling city.","a large group of buildings in the city of granada, spain",a vector illustration of a city,a painting of a city with a bunch of buildings ,a close up of a city with many buildings and a clock tower,[]
image_49,"A cluster of rugged, modern houses sits atop a steep cliff by the ocean.",a house on the cliff overlooking the ocean,a wall on the side of a building,a large stone building with a lighthouse ,arafed house on a cliff overlooking the ocean with a view of the ocean,[]
image_50,"Vibrant, historic, white, shiny hills are visible in the distance beyond a winding river.",a painting of a sunset over a green valley,the hills are green,a river with a mountain range and a lake ,a painting of a river running through a lush green valley,['green']
image_51,"Beautiful, natural, vivid architecture marks the skyline of a bustling city.",seamless city seamless pattern vector,city buildings seamless pattern. city buildings on a city background. vector illustration.,a variety of colorful and colorful colored and shaped objects ,a close up of a cityscape with many buildings and a clock,"['seamless', 'colorful']"
image_52,"A painter captures a spotted, rugged, serene, green, beautiful scene of nature on canvas.",a painting of a mountain stream with trees and rocks,a painting of a river,a river with a bunch of trees and a waterfall ,painting of a river with a waterfall and trees in the background,[]
image_53,"A ancient, rugged, beautiful, mountain, snowy sunset paints the horizon with vibrant colors.",a painting of a snowy mountain scene with a sunset,painting of a mountain range,a mountain range with a sky background ,a painting of a mountain scene with a sunset in the background,[]
image_54,"Black, blue, delicate hills are visible in the distance beyond a winding river.",a river running through a valley,a blue and green landscape,a river with many different colored water features ,arafed view of a river running through a valley with hills in the background,[]
image_55,"Golden, rugged, modern, ancient, cozy architecture marks the skyline of a bustling city.",a seam pattern of buildings and buildings,seamless pattern with a gold silhouette of a city,a painting of a group of people in a room ,a close up of a city with a lot of tall buildings,[]
image_56,"A dynamic, busy, green, beautiful, rugged sunset paints the horizon with vibrant colors.",a beautiful sunset over the mountains in the desert,the sky is colorful,a landscape of mountains and a sunset ,a view of a colorful sunset over a green valley with hills,['colorful']
image_57,"Majestic, ancient, green, cozy, calm hills are visible in the distance beyond a winding river.",a green landscape with a river and mountains,a river in the valley,a river with a bunch of green grasses and trees ,a green valley with a river and hills in the background,['green']
image_58,"An old wooden bridge stands over a small, cozy, busy and tranquil stream.",a painting of a bridge over a stream,bridge over the water,a wooden bridge with a river and trees ,painting of a bridge over a stream in a forest with a waterfall,[]
image_59,"Ancient, blue, vivid, bright architecture marks the skyline of a bustling city.",a large group of buildings with blue roofs,digital art selected for the #,a large building with a bunch of colorful lights ,a close up of a large building with many domes on top of it,['large']
image_60,"Rustic, majestic, wild, delicate, shiny hills are visible in the distance beyond a winding river.",a river running through a valley surrounded by hills,the river is winding,a river with a mountain range and a mountain range ,arafed view of a river running through a valley with hills in the background,[]
image_61,"A painter captures a shiny, rustic, busy scene of nature on canvas.",a painting of a cabin in the woods,painting of a cabin in the woods,a painting of a river with a river ,painting of a cabin in the woods with a stream running through it,[]
image_62,"Beautiful, vivid architecture marks the skyline of a bustling city.",a citysca with buildings and a river,a wall on the side of a building,a painting of a city with colorful buildings ,a painting of a city with many tall buildings and a river,[]
image_63,"A painter captures a snowy, dynamic, serene scene of nature on canvas.",a painting of a snowy river in the woods,a painting of a river,a river with trees and snow covered ground ,a painting of a river in the snow with trees and snow covered rocks,[]
image_64,"Grand, rustic, majestic birds flutter above a serene and glistening pond.",a painting of two swans swimming in a lake,a painting of a lake,a flock of birds standing on top of a lake ,painting of geese in a pond with trees and water,[]
image_65,"Red, lush, vibrant, dynamic, bright architecture marks the skyline of a bustling city.",a red and white cityscape with many buildings,a wallpaper of a city with a cityscape,a cityscape of a city with a building ,a close up of a red building with many windows and a clock,"['red', 'many']"
image_66,"Majestic, soft, artistic, grand, sleek architecture marks the skyline of a bustling city.",the bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu bu,the buildings are tall,a city with tall buildings and a clock tower ,araffature view of a city with a lot of tall buildings,['tall']
image_67,"A painter captures a bright, natural, shiny scene of nature on canvas.",a painting of a river in the fall,a painting of a forest.,a river with a bunch of trees and a river ,a painting of a river in the woods with trees and grass,[]
image_68,"Green, wild, soft, dynamic, shiny birds flutter above a serene and glistening pond.",a painting of birds flying over a pond,a painting of a pond,a bird is flying over a pond with a bunch of birds ,painting of a pond with birds flying over it and a bird flying over the water,[]
image_69,"Rustic, black landscapes stretch endlessly under a golden sun.",a painting of a farm with a sunset in the background,a painting of a barn,a small farm house with a view of a field ,painting of a barn in a field with a fence and trees,[]
image_70,"Mountain, dynamic, busy, grand, shiny trees sway gently in the cool autumn breeze.",a painting of a mountain scene with a stream and a cabin,the mountain stream,a painting of a river with a forest ,painting of a mountain scene with a stream and a cabin,[]
image_71,"Bright, colorful, busy, historic, rugged landscapes stretch endlessly under a golden sun.",a painting of a river in the desert,the mountains are tall,a scenic view of a river with mountains ,a painting of a desert scene with a river and mountains,[]
image_72,"A spotted, beautiful, rustic, sleek, red sunset paints the horizon with vibrant colors.",a painting of a sunset over a lake,the sky is red and blue,a sunset view of a beach with a sunset ,a painting of a sunset with palm trees and a body of water,[]
image_73,"Vivid, mountain, lush hills are visible in the distance beyond a winding river.",a beautiful landscape with a river and mountains,a painting of a river,a river with a bunch of colorful flowers on it ,a painting of a river running through a lush green valley,[]
image_74,"Ancient, golden, soft wildflowers bloom in a meadow under a bright sky.",a field of wildflowers at sunset,the flowers are yellow,a flower in a flower pot on a sunny day ,a close up of a field of flowers with the sun in the background,[]
image_75,"Modern, delicate, grand, wooden, soft hills are visible in the distance beyond a winding river.",a river in the middle of a desert,a river runs through the desert,a large body of water with many small boats ,arafed view of a river running through a desert landscape,[]
image_76,"A rugged, calm, bold sunset paints the horizon with vibrant colors.",a painting of a sunset on the beach,the sky is red and blue,a sunset with a sunset view of the ocean ,a painting of a sunset over the ocean with clouds,[]
image_77,"Vivid, tall, snowy, bright hills are visible in the distance beyond a winding river.",a painting of a mountain landscape with a river and mountains in the background,a painting of a mountain range,a painting of a painting of a river with colorful flowers ,a painting of a river running through a valley surrounded by mountains,[]
image_78,"A majestic, cozy, white sunset paints the horizon with vibrant colors.",a sunset on the beach with palm trees,palm trees on the beach,a beach with a sunset and a sunset view ,a view of a beach with palm trees and a sunset,[]
image_79,"A painter captures a mountain, soft, white scene of nature on canvas.",a painting of mountains and trees in the snow,the mountains are snow covered,a snowy mountain with a view of the ocean ,painting of a mountain scene with a lake and trees,[]
image_80,"Dynamic, spotted, playful wildflowers bloom in a meadow under a bright sky.",a field of flowers with a blue sky in the background,a field of wild flowers,a painting of flowers and birds on a flowery background ,a painting of a field of flowers with ladybugs and ladybugs,[]
image_81,"A serene, white sunset paints the horizon with vibrant colors.",a painting of a sunset on the beach,a painting of a sunset,a sunset is seen in the distance of a beach ,a painting of a sunset over the ocean with grass and water,[]
image_82,"A cluster of rugged, vibrant, white, natural, lush houses sits atop a steep cliff by the ocean.",a white house on a rocky cliff overlooking the ocean,the houses are white,a beach with a couple of boats on it ,arafed houses on a hill overlooking the ocean and a cliff,['white']
image_83,"An old wooden bridge stands over a golden, soft and tranquil stream.",a bridge over a stream in the woods,the bridge is made of wood,a river with a bridge and a waterfall ,arafed bridge over a stream in a forest with rocks and trees,[]
image_84,"A painter captures a blue, red, cozy scene of nature on canvas.",a painting of a cabin in the woods,painting of a cabin by the water,a painting of a lake with a boat in the water ,a painting of a cabin in the woods with a full moon,[]
image_85,"A painter captures a white, sleek scene of nature on canvas.",a painting of a snowy landscape with trees and water,trees covered in snow,a lake with a bunch of trees and a boat ,painting of a snowy river with trees and snow on the ground,['snowy']
image_86,"Busy, black, historic, ancient, bright birds flutter above a serene and glistening pond.",a painting of birds flying over a pond,painting of a chinese style house,a painting of birds flying over a river ,a painting of birds flying over a pond with a pagoda in the background,[]
image_87,"A painter captures a busy, wooden, vibrant, golden, spotted scene of nature on canvas.",a painting of a river in the fall,painting of a river,a painting of a river with a bunch of birds on it ,a painting of a man fishing in a river with a mountain in the background,[]
image_88,"Wooden, white, golden, cozy wildflowers bloom in a meadow under a bright sky.",white and yellow flowers,white and yellow flowers in a field,a flock of birds flying through a field ,there are many white and yellow flowers in a field,"['white', 'yellow']"
image_89,"Green, small, snowy, calm, vivid landscapes stretch endlessly under a golden sun.",a painting of a snowy landscape with mountains and trees,a painting of a river running through a valley,a painting of a river with a bunch of green plants ,a painting of a snowy mountain scene with a river and trees,['snowy']
image_90,"Natural, modern landscapes stretch endlessly under a golden sun.",a sunset over a field of wheat,golden hills in the sunset,a view from a distance of a mountain range ,arafed view of a field with a sunset in the background,[]
image_91,"A blue, golden, modern sunset paints the horizon with vibrant colors.",a painting of a sunset over the ocean,the sky is blue and orange,a painting of a sunset with a bunch of clouds ,a painting of a sunset over the ocean with a boat in the distance,[]
image_92,"Dynamic, modern, cozy birds flutter above a serene and glistening pond.",a painting of birds on a pond with lily leaves,painting of a bird on a lily pad,a painting of a lake with birds and boats ,painting of two birds sitting on lily pads in a pond,['lily']
image_93,"Lush, busy, spotted, mountain, golden wildflowers bloom in a meadow under a bright sky.",a field of wildflowers in the mountains,yellow flowers on the grass,a large flower pot sitting in the middle of a field ,a view of a field of wildflowers and mountains at sunset,[]
image_94,"Busy, beautiful, mountain architecture marks the skyline of a bustling city.",a cityscape with buildings and mountains in the background,digital art selected for the #,a series of photos of a city with a bunch of buildings ,a close up of a city with mountains and buildings in the background,[]
image_95,"A cluster of busy, mountain, rugged, tall houses sits atop a steep cliff by the ocean.",a painting of a town on the coast,a painting of a town,a scenic view of a river with a large body of water ,a close up of a painting of a town on a cliff,[]
image_96,"Natural, small, bright wildflowers bloom in a meadow under a bright sky.",a field of wildflowers with the sun shining through the clouds,wild flowers in the field,a flowery field with a bunch of flowers in it ,a close up of a field of flowers with the sun in the background,[]
image_97,"Bright, modern, small architecture marks the skyline of a bustling city.",a cityscape with many buildings and buildings,a city with a lot of buildings,a row of ties on a table ,a close up of a city with many buildings and a street,['many']
image_98,"Sleek, mountain, rugged architecture marks the skyline of a bustling city.","the futuristic city of santiago, chile",the building is futuristic,a city with a lot of buildings and mountains ,a rendering of a futuristic city with a mountain in the background,['futuristic']
image_99,"Bold, natural, bright trees sway gently in the cool autumn breeze.",a forest with colorful trees and leaves,the leaves are red,a forest filled with trees and trees with a sky background ,a view of a forest with lots of trees with orange and yellow leaves,[]
